detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
994,179,610053,,,蛋挞,0,1,8,,2016/8/2912:18:00,,,,0,,,caipu/501002.jpg,992
1037,179,609941,,,清蒸海鱼,0,1,78,,2016/8/2912:20:00,,,,0,,,caipu/103002.jpg,992
1038,179,609984,,,重庆特色油烧兔,0,1,69,,2016/8/2912:22:00,,,,0,,,caipu/205004.jpg,992
1437,236,610065,,,辣炒花蛤,0,1,35,,2016/8/2912:30:00,,,,0,,,caipu/104004.jpg,1001
1443,236,609997,,,打卤面,0,1,26,,2016/8/2912:31:00,,,,0,,,caipu/603001.jpg,1001
1440,236,610017,,,酸辣藕丁,0,1,33,,2016/8/2912:31:00,,,,0,,,caipu/302006.jpg,1001
1444,236,609939,,,香菇鸡肉粥,0,1,15,,2016/8/2912:34:00,,,,0,,,caipu/602005.jpg,1001
2053,322,609967,,,香酥两吃大虾,0,1,89,,2016/8/2912:51:00,,,,0,,,caipu/101002.jpg,993
2062,322,609982,,,五香酱驴肉,0,1,52,,2016/8/2912:52:00,,,,0,,,caipu/205002.jpg,993
2063,322,609983,,,干锅田鸡,0,1,88,,2016/8/2912:52:00,,,,0,,,caipu/205003.jpg,993
2058,322,610067,,,冰镇花螺,0,1,35,,2016/8/2912:52:00,,,,0,,,caipu/104006.jpg,993
2067,322,610021,,,爆炒鸡翅,0,1,56,,2016/8/2912:52:00,,,,0,,,caipu/204004.jpg,993
2056,322,609941,,,清蒸海鱼,0,1,78,,2016/8/2912:52:00,,,,0,,,caipu/103002.jpg,993
2070,322,610031,,,糖醋蕃茄溜青花,0,1,33,,2016/8/2912:53:00,,,,0,,,caipu/304005.jpg,993
2072,322,610044,,,木须豌豆,0,1,32,,2016/8/2912:55:00,,,,0,,,caipu/305003.jpg,993
2074,322,610045,,,冬瓜炒苦瓜,0,1,29,,2016/8/2912:56:00,,,,0,,,caipu/305004.jpg,993
2078,322,609954,,,凉拌蒜蓉西兰花,0,1,29,,2016/8/2912:56:00,,,,0,,,caipu/304001.jpg,993
2077,322,610029,,,黄花菜炒木耳,0,1,35,,2016/8/2912:56:00,,,,0,,,caipu/304003.jpg,993
2079,322,610046,,,青炒扁豆,0,1,28,,2016/8/2912:57:00,,,,0,,,caipu/305005.jpg,993
2082,322,609990,,,特醇嘉士伯啤酒罐装,0,4,6,,2016/8/2912:58:00,,,,0,,,caipu/403005.jpg,993
2121,322,610069,,,50度古井贡酒,0,1,90,,2016/8/2912:58:00,,,,0,,,caipu/401002.jpg,993
2129,322,610011,,,白饭/大碗,0,2,10,,2016/8/2913:00:00,,,,0,,,caipu/601005.jpg,993
5919,696,610011,,,白饭/大碗,0,1,10,,2016/8/2917:04:00,,,,0,,,caipu/601005.jpg,1097
5918,696,609946,,,谷稻小庄,0,1,38,,2016/8/2917:04:00,,,,0,,,caipu/404002.jpg,1097
5920,696,609957,,,蒙古烤羊腿,0,1,48,,2016/8/2917:04:00,,,,0,,,caipu/202003.jpg,1097
5917,696,609967,,,香酥两吃大虾,0,1,89,,2016/8/2917:04:00,,,,0,,,caipu/101002.jpg,1097
5921,696,610028,,,培根花菜,0,1,35,,2016/8/2917:05:00,,,,0,,,caipu/304002.jpg,1097
5922,696,610022,,,杭椒鸡珍,0,1,58,,2016/8/2917:07:00,,,,0,,,caipu/204005.jpg,1097
5923,696,610036,,,路易拉菲红酒干红,0,1,158,,2016/8/2917:07:00,,,,0,,,caipu/402005.jpg,1097
5925,696,609960,,,白胡椒胡萝卜羊肉汤,0,1,35,,2016/8/2917:08:00,,,,0,,,caipu/202006.jpg,1097
5924,696,609953,,,凉拌菠菜,0,1,27,,2016/8/2917:08:00,,,,0,,,caipu/303004.jpg,1097
5929,696,610038,,,芝麻烤紫菜,0,1,25,,2016/8/2917:09:00,,,,0,,,caipu/105002.jpg,1097
5928,696,610018,,,照烧鸡腿,0,1,16,,2016/8/2917:09:00,,,,0,,,caipu/204001.jpg,1097
5927,696,610017,,,酸辣藕丁,0,1,33,,2016/8/2917:09:00,,,,0,,,caipu/302006.jpg,1097
5926,696,609956,,,孜然羊排,0,1,88,,2016/8/2917:09:00,,,,0,,,caipu/202002.jpg,1097
5930,696,610053,,,蛋挞,0,1,8,,2016/8/2917:10:00,,,,0,,,caipu/501002.jpg,1097
5932,696,609950,,,大蒜苋菜,0,1,30,,2016/8/2917:10:00,,,,0,,,caipu/303001.jpg,1097
5933,696,609955,,,红酒炖羊肉,0,1,108,,2016/8/2917:10:00,,,,0,,,caipu/202001.jpg,1097
6738,775,610039,,,培根紫菜卷,0,1,30,,2016/8/2917:46:00,,,,0,,,caipu/105003.jpg,1087
6741,775,610043,,,肉丁茄子,0,1,39,,2016/8/2917:51:00,,,,0,,,caipu/305002.jpg,1087
6749,775,609983,,,干锅田鸡,0,1,88,,2016/8/2917:52:00,,,,0,,,caipu/205003.jpg,1087
6753,775,610010,,,白饭/小碗,0,2,1,,2016/8/2918:00:00,,,,0,,,caipu/601004.jpg,1087
6758,775,609947,,,北冰洋汽水,0,1,5,,2016/8/2918:02:00,,,,0,,,caipu/404003.jpg,1087
4579,576,609969,,,香辣腐乳炒虾,0,1,56,,2016/8/2918:36:00,,,,0,,,caipu/101004.jpg,1103
4582,576,609968,,,油焖麻辣虾,0,1,65,,2016/8/2918:38:00,,,,0,,,caipu/101003.jpg,1103
4589,576,610066,,,辣炒田螺,0,1,35,,2016/8/2918:38:00,,,,0,,,caipu/104005.jpg,1103
4602,576,609944,,,水煮鱼,0,1,65,,2016/8/2918:39:00,,,,0,,,caipu/103005.jpg,1103
4598,576,610039,,,培根紫菜卷,0,1,30,,2016/8/2918:39:00,,,,0,,,caipu/105003.jpg,1103
4606,576,610022,,,杭椒鸡珍,0,1,58,,2016/8/2918:40:00,,,,0,,,caipu/204005.jpg,1103
4608,576,610024,,,红酒土豆烧鸭腿,0,1,48,,2016/8/2918:41:00,,,,0,,,caipu/204007.jpg,1103
4611,576,609983,,,干锅田鸡,0,1,88,,2016/8/2918:41:00,,,,0,,,caipu/205003.jpg,1103
4612,576,610031,,,糖醋蕃茄溜青花,0,1,33,,2016/8/2918:41:00,,,,0,,,caipu/304005.jpg,1103
4621,576,609952,,,美妙绝伦之白莲花,0,1,29,,2016/8/2918:43:00,,,,0,,,caipu/303003.jpg,1103
4618,576,610042,,,五彩豆,0,1,29,,2016/8/2918:43:00,,,,0,,,caipu/305001.jpg,1103
4615,576,610046,,,青炒扁豆,0,1,28,,2016/8/2918:43:00,,,,0,,,caipu/305005.jpg,1103
4625,576,609932,,,爆炒猪肝,0,1,68,,2016/8/2918:44:00,,,,0,,,caipu/203003.jpg,1103
4632,576,609996,,,牛尾汤,0,1,40,,2016/8/2918:45:00,,,,0,,,caipu/201006.jpg,1103
4629,576,609931,,,焖猪手,0,1,58,,2016/8/2918:45:00,,,,0,,,caipu/203002.jpg,1103
4633,576,609981,,,桂圆枸杞鸽子汤,0,1,48,,2016/8/2918:45:00,,,,0,,,caipu/205001.jpg,1103
4635,576,610051,,,凉拌萝卜丝,0,1,20,,2016/8/2918:46:00,,,,0,,,caipu/301005.jpg,1103
4642,576,610019,,,白斩鸡,0,1,88,,2016/8/2918:46:00,,,,0,,,caipu/204002.jpg,1103
4637,576,609942,,,辣炒鱿鱼,0,1,58,,2016/8/2918:46:00,,,,0,,,caipu/103003.jpg,1103
4640,576,610036,,,路易拉菲红酒干红,0,1,158,,2016/8/2918:46:00,,,,0,,,caipu/402005.jpg,1103
4643,576,609992,,,番茄炖牛腩,0,1,35,,2016/8/2918:47:00,,,,0,,,caipu/201002.jpg,1103
4645,576,610038,,,芝麻烤紫菜,0,1,25,,2016/8/2918:49:00,,,,0,,,caipu/105002.jpg,1103
6178,722,609970,,,麻辣小龙虾,0,1,99,,2016/8/2918:59:00,,,,0,,,caipu/101006.jpg,1076
6179,722,609944,,,水煮鱼,0,1,65,,2016/8/2919:01:00,,,,0,,,caipu/103005.jpg,1076
6181,722,609949,,,意文柠檬汁,0,1,13,,2016/8/2919:06:00,,,,0,,,caipu/404005.jpg,1076
5475,657,609970,,,麻辣小龙虾,0,1,99,,2016/8/2919:08:00,,,,0,,,caipu/101006.jpg,1107
5478,657,609933,,,自制猪肉脯,0,1,48,,2016/8/2919:09:00,,,,0,,,caipu/203004.jpg,1107
6184,722,609999,,,鱼香肉丝拌面,0,1,18,,2016/8/2919:09:00,,,,0,,,caipu/603003.jpg,1076
5476,657,609931,,,焖猪手,0,1,58,,2016/8/2919:09:00,,,,0,,,caipu/203002.jpg,1107
5479,657,609932,,,爆炒猪肝,0,1,68,,2016/8/2919:10:00,,,,0,,,caipu/203003.jpg,1107
5480,657,609934,,,芹菜炒腰花,0,1,18,,2016/8/2919:11:00,,,,0,,,caipu/203005.jpg,1107
5481,657,609942,,,辣炒鱿鱼,0,1,58,,2016/8/2919:12:00,,,,0,,,caipu/103003.jpg,1107
6185,722,610004,,,南瓜芝士包,0,1,10,,2016/8/2919:12:00,,,,0,,,caipu/503003.jpg,1076
4740,588,609942,,,辣炒鱿鱼,0,1,58,,2016/8/2919:13:00,,,,0,,,caipu/103003.jpg,1092
4736,588,609967,,,香酥两吃大虾,0,1,89,,2016/8/2919:13:00,,,,0,,,caipu/101002.jpg,1092
5482,657,609960,,,白胡椒胡萝卜羊肉汤,0,1,35,,2016/8/2919:16:00,,,,0,,,caipu/202006.jpg,1107
5485,657,609983,,,干锅田鸡,0,1,88,,2016/8/2919:17:00,,,,0,,,caipu/205003.jpg,1107
5486,657,610011,,,白饭/大碗,0,1,10,,2016/8/2919:18:00,,,,0,,,caipu/601005.jpg,1107
5491,657,609991,,,香烤牛排,0,1,55,,2016/8/2919:19:00,,,,0,,,caipu/201001.jpg,1107
5488,657,609946,,,谷稻小庄,0,1,38,,2016/8/2919:19:00,,,,0,,,caipu/404002.jpg,1107
5490,657,609953,,,凉拌菠菜,0,1,27,,2016/8/2919:19:00,,,,0,,,caipu/303004.jpg,1107
5498,657,610033,,,张裕葡萄酒张裕赤霞珠干红,0,1,32,,2016/8/2919:20:00,,,,0,,,caipu/402002.jpg,1107
5497,657,609974,,,南瓜枸杞小饼干,0,1,19,,2016/8/2919:20:00,,,,0,,,caipu/502004.jpg,1107
5499,657,609944,,,水煮鱼,0,1,65,,2016/8/2919:21:00,,,,0,,,caipu/103005.jpg,1107
4742,588,609953,,,凉拌菠菜,0,1,27,,2016/8/2919:24:00,,,,0,,,caipu/303004.jpg,1092
4744,588,609951,,,炝炒大白菜,0,1,29,,2016/8/2919:25:00,,,,0,,,caipu/303002.jpg,1092
6395,740,609966,,,芝士烩波士顿龙虾,0,1,175,,2016/8/2920:43:00,,,,0,,,caipu/101001.jpg,1090
6396,740,609991,,,香烤牛排,0,1,55,,2016/8/2920:43:00,,,,0,,,caipu/201001.jpg,1090
6397,740,610068,,,38度剑南春,0,1,80,,2016/8/2920:43:00,,,,0,,,caipu/401001.jpg,1090
6398,740,609962,,,倒立蒸梭子蟹,0,1,169,,2016/8/2920:44:00,,,,0,,,caipu/102002.jpg,1090
6399,740,610016,,,五彩藕苗,0,1,35,,2016/8/2920:46:00,,,,0,,,caipu/302005.jpg,1090
6400,740,609997,,,打卤面,0,1,26,,2016/8/2920:48:00,,,,0,,,caipu/603001.jpg,1090
6403,740,610009,,,黑米恋上葡萄,0,1,33,,2016/8/2920:49:00,,,,0,,,caipu/601003.jpg,1090
